 	$	^	ஃ	அ	ஆ	இ	ஈ	உ	ஊ	எ	ஏ	ஐ	ஒ	ஓ	ஔ	க	ங	ச	ஜ	ஞ	ட	ண	த	ந	ன	ப	ம	ய	ர	ற	ல	ள	ழ	வ	ஷ	ஸ	ஹ	ா	ி	ீ	ு	ூ	ெ	ே	ை	ொ	ோ	ௌ	்
$	 0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
^	 1	0	139	18843	5509	12698	1282	10741	1653	4111	1591	466	4236	1195	48	48710	10	32147	248	348	506	17	26925	23770	16	35810	32841	945	550	30	448	13	20	26676	50	263	252	0	0	0	0	0	0	0	0	0	0	0	0
ஃ	 2	0	1	0	0	1	0	0	0	0	0	0	0	0	0	142	0	2	0	0	0	0	16	0	0	264	0	0	2	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
அ	 3	0	33	0	1	0	0	1	0	0	0	0	0	0	0	1728	375	1306	6	239	2276	1084	1309	743	953	834	1446	444	2382	1238	1238	842	869	736	56	36	0	0	0	0	0	0	0	0	0	0	0	0	0
ஆ	 4	0	1	2	1	0	0	0	0	0	0	0	1	0	0	537	37	374	1	22	582	433	435	57	309	157	196	503	550	400	258	237	267	372	1	42	0	0	0	0	0	0	0	0	0	0	0	0	0
இ	 13	0	5	0	0	1	0	0	0	0	0	0	0	0	0	153	65	426	0	41	1968	931	327	262	713	41	176	1299	3454	885	1121	513	781	71	9	10	0	0	0	0	0	0	0	0	0	0	0	0	0
ஈ	 2	0	1	0	0	1	0	1	0	0	0	0	0	0	0	26	10	85	0	3	211	8	19	4	85	10	27	111	592	87	1	9	24	25	2	8	0	0	0	0	0	0	0	0	0	0	0	0	0
உ	 23	0	2	0	0	0	0	1	0	1	0	0	0	0	0	218	15	345	0	14	1527	826	732	125	98	666	239	1213	1903	1185	750	1158	242	233	10	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ஊ	 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	129	7	199	0	7	453	36	174	1	160	4	66	1	299	118	5	14	101	1	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
எ	 5	0	63	0	0	0	0	0	0	0	0	0	0	0	0	114	34	168	1	30	417	499	889	104	200	33	56	65	519	178	479	99	452	53	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0
ஏ	 2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	205	8	23	3	1	81	55	88	59	36	15	133	26	163	488	60	10	107	104	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ஐ	 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	37	16	0	11	1	1	11	97	6	5	71	126	20	0	1	0	0	46	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ஒ	 2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	40	1	22	0	15	557	79	390	3	206	404	9	31	783	326	450	866	242	57	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ஓ	 1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	27	50	54	0	0	294	10	137	14	4	10	59	81	382	5	100	3	1	45	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0
ஔ	 1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	6	0	12	0	0	6	0	0	6	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
